frameIndex,EnergyFlow,Volume,PathCurvature,CoMHeight,PosturalSway,SwayRaw,LeftAngularIntensity,RightAngularIntensity,SyncCorrelation,TransitionTorque,Jerk
27,12.657202777848383,0.06818259183559451,8.606725033871951,0.7766659343242643,0.0818068162808503,0.10290162824291917,6.550306488892037,6.419136688754688,-0.4216457307411984,30.317597709381374,347263.4488610578
28,12.536964104600992,0.06552182828758867,8.164854599133282,0.7694405701756475,0.0802651736792405,0.09664892891732652,6.129859443717358,4.786550992230044,-0.39901143868563965,30.074535257378965,367128.1845850865
29,13.150406012794935,0.06458995506441215,6.803766540659121,0.7605542770028113,0.07839010260444904,0.08760946967660715,7.70127320365179,5.841197199811995,-0.41574461101370114,30.414782018463892,371524.316629021
30,13.215483580061708,0.06331504415997657,5.99299206873617,0.7857942724227903,0.07645120719773084,0.08057443481633093,9.057511983007453,7.73897791942848,-0.40741614888829475,30.669950158243996,403436.4200046148
31,13.606204386376861,0.060589524413015856,7.083831796127566,0.8086578595638273,0.07500995902805643,0.07842982210768067,10.583465349282275,7.182356273730224,-0.40727239739163396,31.693270402278422,436012.5446305898
32,14.61337640698348,0.05881893881050199,5.901380040248718,0.8278395748138426,0.07388981462017127,0.07724894176170322,13.654821619662195,8.52364466377991,-0.3443835914832449,32.779681135960786,455098.6667642234
33,16.3918871526659,0.05370181933443128,3.3117715680571185,0.8385985076427459,0.07315089503132556,0.07033806658062211,16.781077218327273,10.588497032731633,-0.16758960588488492,33.034842395839284,599161.4604466488
34,17.46746800650059,0.04398292396176653,2.9207934462817144,0.8498414149880409,0.07281055051574115,0.06681398251151824,20.88185032959293,13.215723851790838,0.10290672415526055,35.037552774179694,626411.3335375858
35,17.63959018816586,0.03614561857793494,2.630882663704671,0.8534996795654295,0.07272153228472547,0.07311459778429709,19.37542757424381,11.651843875686804,0.2233465430123674,36.335978996195074,762880.9279589825
36,17.812303270838616,0.03858061506101902,3.219272167901032,0.8614535331726072,0.07319204375641591,0.07938223134278917,18.515122767516317,14.391988781024786,0.3534231807996938,37.473108473416396,865092.8313199808
37,18.86713771520661,0.04285371046146598,5.090577150246466,0.8764796829223632,0.07412611701757185,0.08680048934096701,16.631228210462567,15.88318054776294,0.4229750230224953,38.158495709656144,882592.2060607242
38,20.482765283896907,0.04780379365193268,5.947971252252275,0.8895527023077009,0.0751460244851103,0.08806551855873389,15.451507122646294,15.371167995374151,0.46421732852654596,38.45702049624732,1042203.550983475
39,21.831394480148848,0.0487473549136019,4.8039211628028955,0.8954179236292839,0.07604169936833385,0.0722708692832378,9.148188443100532,15.488011580978462,0.4475165383276949,39.53245367013183,1113873.3638801202
40,22.012566869941605,0.04639415237205002,6.553223460063983,0.9020211791992184,0.07672316343016612,0.057447630927497086,15.875366885621542,13.922698820136858,0.5677284485126475,41.03331249900244,1143347.1140520398
41,22.25767636993605,0.047556566869872495,9.131963006520062,0.91382962167263,0.07717666388358393,0.04299892353014036,10.187033987202177,7.522665282780194,0.6770151707487709,41.73792830004686,1188960.8885931775
42,22.587645056893656,0.04418441348970795,7.355664908365284,0.933959097266197,0.0770321515731503,0.036993526174812115,6.726688184909422,10.165218997059355,0.7351814712335336,42.185253545985624,1202213.967280277
43,22.765869489470468,0.03650109919720105,7.96157906376306,0.9597006747126577,0.07655371710206213,0.03217032261688807,8.676586549987832,5.913700214103553,0.7533382576764266,41.95168702408455,1203900.7292144345
44,23.10126246848734,0.030479509464718404,8.858159137931182,0.9794095426797865,0.07587684722308208,0.016830973972193505,8.253962892360818,8.172718592084017,0.7538523383272899,41.80955380561451,1201806.7013494573
45,23.49646384100872,0.02624721575539004,7.223729111872736,0.9898782250285147,0.07491055385959057,0.012461132598779437,8.999748295199465,9.26899176658638,0.7664939601890377,41.51107745487364,1199145.7409354018
46,23.906474029633056,0.023731819429739624,4.071578478188055,0.9919411748647687,0.07352284520608467,0.02858624220499807,10.222511546609425,10.597535688824298,0.76249811896124,41.50136938015031,1198495.781469916
47,24.0904927898557,0.020089677488169047,2.153947457727237,0.9875562128424642,0.07161821126806815,0.0422647448896251,13.241782447722635,8.740375854484356,0.7520961135453371,41.60244923468483,1194667.7045384892
48,24.11834061286422,0.018467023369085726,4.963711087193822,0.9805393010377883,0.06977680322648121,0.061412293489735995,15.281463767672161,12.594076130680474,0.7572795288467513,41.49842825203278,1193044.0520603762
49,23.773172902632275,0.017925247738074346,7.390802370368874,0.9683462172746659,0.06846407601883168,0.0778710021353717,15.271170014521728,6.936942207540691,0.7177061114794646,41.49004672705108,1192872.6880528412
50,23.151119738001384,0.020216619408585466,6.535436451490311,0.9612861868739124,0.06766957380505775,0.08930971154614985,11.035939246456008,9.615606002468603,0.7109471722341149,41.252340641799016,1222565.3087297357
51,22.75443581888692,0.022738130963005313,5.00385196577014,0.9516330781579015,0.06715911743135781,0.10477723928131542,9.652628649191286,7.621523526914016,0.7020575476123484,41.49092171734472,1218440.048507918
52,22.752613828708405,0.02737132639767489,5.263471981667996,0.9392187666893003,0.06694188512722098,0.11885411065562122,22.307277406863843,10.524963180417677,0.6645850685243637,41.037468387797105,1260039.501974556
53,22.56294985707157,0.03203390995731255,7.852160402128979,0.9219146168231961,0.06681338229187982,0.1256475857839607,33.032260915814845,8.591237809446776,0.4771405161220804,41.20555499274647,1252213.294081849
54,22.04623493571889,0.038448381158571826,7.695683061624705,0.9083824771642682,0.06680483060976473,0.12845255971214847,29.002848456446443,8.078240266570324,0.36377968223229423,41.254379721858335,1254760.229612016
55,21.55550235594918,0.0474839032426888,7.366606870086113,0.9076539078354834,0.06751662317474515,0.1264952985234394,15.723227951535984,7.576164460864293,0.32929054762492477,41.12414056758968,1236744.273540907
56,20.978187075056187,0.053567361770175126,8.19194217238823,0.911666698157787,0.06896437028198002,0.11980152666030416,12.74687726452977,7.9025737982902164,0.29777033199003355,40.457803103917406,1219955.2100009737
57,20.897225218869306,0.05504758790715403,10,0.9175488513708111,0.07095178647595943,0.105422893139945,7.506667532448229,5.274439019947726,0.3020512071583698,39.132881070096225,1204410.2425659853
58,20.447814029375262,0.054895421657644716,7.7875493192609095,0.9199168440699576,0.07287901778925038,0.08807015963918653,7.609931238011627,4.865359728945571,0.29179261836649883,38.1070379245035,1175108.2055990149
59,20.064706121952486,0.05665383743745068,9.036808201568054,0.9179879590868948,0.07465918519431572,0.07566596266894514,8.499354762914246,4.454629379552014,0.2946212560981437,37.66151481224167,1143242.32335222
